service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,0,0,27,1774,0.0,0.0,0.0,0.0
redis_energy_Anomaly_high,0,0,53,1748,0.0,0.0,0.0,0.0
ts-account-mongo_energy_Anomaly_high,0,0,90,1711,0.0,0.0,0.0,0.0
ts-admin-basic-info-service_energy_Anomaly_high,0,0,86,1715,0.0,0.0,0.0,0.0
ts-admin-order-service_energy_Anomaly_high,5,0,0,1796,1.0,1.0,1.0,1.0
ts-admin-route-service_energy_Anomaly_high,0,0,83,1718,0.0,0.0,0.0,0.0
ts-admin-travel-service_energy_Anomaly_high,0,0,87,1714,0.0,0.0,0.0,0.0
ts-admin-user-service_energy_Anomaly_high,2,0,8,1791,1.0,0.2,0.333,0.2
ts-assurance-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_high,2,0,19,1780,1.0,0.095,0.174,0.095
ts-basic-service_energy_Anomaly_high,4,0,15,1782,1.0,0.211,0.348,0.211
ts-cancel-service_energy_Anomaly_high,0,0,5,1796,0.0,0.0,0.0,0.0
ts-config-mongo_energy_Anomaly_high,0,0,11,1790,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_high,4,0,25,1772,1.0,0.138,0.243,0.138
ts-consign-mongo_energy_Anomaly_high,0,0,90,1711,0.0,0.0,0.0,0.0
ts-consign-price-mongo_energy_Anomaly_high,0,0,88,1713,0.0,0.0,0.0,0.0
ts-consign-price-service_energy_Anomaly_high,0,0,33,1768,0.0,0.0,0.0,0.0
ts-consign-service_energy_Anomaly_high,4,0,25,1772,1.0,0.138,0.243,0.138
ts-contacts-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_high,0,0,3,1798,0.0,0.0,0.0,0.0
ts-food-map-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_high,0,0,74,1727,0.0,0.0,0.0,0.0
ts-inside-payment-service_energy_Anomaly_high,12,0,24,1765,1.0,0.333,0.5,0.333
ts-news-mongo_energy_Anomaly_high,0,0,79,1722,0.0,0.0,0.0,0.0
ts-news-service_energy_Anomaly_high,0,0,1,1800,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_high,0,0,12,1789,0.0,0.0,0.0,0.0
ts-order-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_high,0,0,8,1793,0.0,0.0,0.0,0.0
ts-order-other-service_energy_Anomaly_high,4,0,15,1782,1.0,0.211,0.348,0.211
ts-order-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-payment-mongo_energy_Anomaly_high,0,0,75,1726,0.0,0.0,0.0,0.0
ts-payment-service_energy_Anomaly_high,10,0,24,1767,1.0,0.294,0.454,0.294
ts-preserve-other-service_energy_Anomaly_high,0,0,15,1786,0.0,0.0,0.0,0.0
ts-preserve-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-price-mongo_energy_Anomaly_high,2,0,11,1788,1.0,0.154,0.267,0.154
ts-price-service_energy_Anomaly_high,0,0,21,1780,0.0,0.0,0.0,0.0
ts-rebook-mongo_energy_Anomaly_high,37,0,44,1720,1.0,0.457,0.627,0.457
ts-rebook-service_energy_Anomaly_high,0,0,79,1722,0.0,0.0,0.0,0.0
ts-route-mongo_energy_Anomaly_high,0,0,5,1796,0.0,0.0,0.0,0.0
ts-route-plan-service_energy_Anomaly_high,0,0,84,1717,0.0,0.0,0.0,0.0
ts-route-service_energy_Anomaly_high,3,0,18,1780,1.0,0.143,0.25,0.143
ts-seat-service_energy_Anomaly_high,2,0,14,1785,1.0,0.125,0.222,0.125
ts-security-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-security-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-station-mongo_energy_Anomaly_high,0,0,15,1786,0.0,0.0,0.0,0.0
ts-station-service_energy_Anomaly_high,4,0,14,1783,1.0,0.222,0.363,0.222
ts-ticket-office-mongo_energy_Anomaly_high,53,0,24,1724,1.0,0.688,0.815,0.688
