service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,19,1,8,1773,0.95,0.704,0.809,0.679
redis_energy_Anomaly_high,53,0,0,1748,1.0,1.0,1.0,1.0
ts-account-mongo_energy_Anomaly_high,66,0,24,1711,1.0,0.733,0.846,0.733
ts-admin-basic-info-service_energy_Anomaly_high,83,0,3,1715,1.0,0.965,0.982,0.965
ts-admin-order-service_energy_Anomaly_high,5,0,0,1796,1.0,1.0,1.0,1.0
ts-admin-route-service_energy_Anomaly_high,75,3,8,1715,0.962,0.904,0.932,0.872
ts-admin-travel-service_energy_Anomaly_high,75,10,12,1704,0.882,0.862,0.872,0.773
ts-admin-user-service_energy_Anomaly_high,9,0,1,1791,1.0,0.9,0.947,0.9
ts-assurance-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_high,10,0,11,1780,1.0,0.476,0.645,0.476
ts-basic-service_energy_Anomaly_high,12,0,7,1782,1.0,0.632,0.775,0.632
ts-cancel-service_energy_Anomaly_high,5,1,0,1795,0.833,1.0,0.909,0.833
ts-config-mongo_energy_Anomaly_high,3,0,8,1790,1.0,0.273,0.429,0.273
ts-config-service_energy_Anomaly_high,10,0,19,1772,1.0,0.345,0.513,0.345
ts-consign-mongo_energy_Anomaly_high,65,0,25,1711,1.0,0.722,0.839,0.722
ts-consign-price-mongo_energy_Anomaly_high,78,0,10,1713,1.0,0.886,0.94,0.886
ts-consign-price-service_energy_Anomaly_high,26,1,7,1767,0.963,0.788,0.867,0.765
ts-consign-service_energy_Anomaly_high,9,1,20,1771,0.9,0.31,0.461,0.3
ts-contacts-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_high,3,0,0,1798,1.0,1.0,1.0,1.0
ts-food-map-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_high,73,4,1,1723,0.948,0.986,0.967,0.936
ts-inside-payment-service_energy_Anomaly_high,36,1,0,1764,0.973,1.0,0.986,0.973
ts-news-mongo_energy_Anomaly_high,79,4,0,1718,0.952,1.0,0.975,0.952
ts-news-service_energy_Anomaly_high,0,0,1,1800,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_high,12,0,0,1789,1.0,1.0,1.0,1.0
ts-order-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_high,8,0,0,1793,1.0,1.0,1.0,1.0
ts-order-other-service_energy_Anomaly_high,10,0,9,1782,1.0,0.526,0.689,0.526
ts-order-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-payment-mongo_energy_Anomaly_high,72,0,3,1726,1.0,0.96,0.98,0.96
ts-payment-service_energy_Anomaly_high,23,2,11,1765,0.92,0.676,0.779,0.639
ts-preserve-other-service_energy_Anomaly_high,15,9,0,1777,0.625,1.0,0.769,0.625
ts-preserve-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-price-mongo_energy_Anomaly_high,13,0,0,1788,1.0,1.0,1.0,1.0
ts-price-service_energy_Anomaly_high,7,0,14,1780,1.0,0.333,0.5,0.333
ts-rebook-mongo_energy_Anomaly_high,75,0,6,1720,1.0,0.926,0.962,0.926
ts-rebook-service_energy_Anomaly_high,76,11,3,1711,0.874,0.962,0.916,0.844
ts-route-mongo_energy_Anomaly_high,5,0,0,1796,1.0,1.0,1.0,1.0
ts-route-plan-service_energy_Anomaly_high,70,0,14,1717,1.0,0.833,0.909,0.833
ts-route-service_energy_Anomaly_high,5,0,16,1780,1.0,0.238,0.384,0.238
ts-seat-service_energy_Anomaly_high,1,0,15,1785,1.0,0.062,0.117,0.062
ts-security-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-security-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-station-mongo_energy_Anomaly_high,15,2,0,1784,0.882,1.0,0.937,0.882
ts-station-service_energy_Anomaly_high,12,0,6,1783,1.0,0.667,0.8,0.667
ts-ticket-office-mongo_energy_Anomaly_high,77,7,0,1717,0.917,1.0,0.957,0.917
ts-ticket-office-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-ticketinfo-service_energy_Anomaly_high,2,0,21,1778,1.0,0.087,0.16,0.087
ts-train-mongo_energy_Anomaly_high,8,0,0,1793,1.0,1.0,1.0,1.0
ts-train-service_energy_Anomaly_high,10,0,3,1788,1.0,0.769,0.869,0.769
ts-travel-mongo_energy_Anomaly_high,2,0,0,1799,1.0,1.0,1.0,1.0
ts-travel-plan-service_energy_Anomaly_high,52,10,11,1728,0.839,0.825,0.832,0.712
ts-travel-service_energy_Anomaly_high,7,0,7,1787,1.0,0.5,0.667,0.5
ts-travel2-mongo_energy_Anomaly_high,10,2,6,1783,0.833,0.625,0.714,0.556
ts-travel2-service_energy_Anomaly_high,4,0,18,1779,1.0,0.182,0.308,0.182
ts-ui-dashboard_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-user-mongo_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-user-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
ts-verification-code-service_energy_Anomaly_high,9,0,8,1784,1.0,0.529,0.692,0.529
ts-voucher-mysql_energy_Anomaly_high,19,0,10,1772,1.0,0.655,0.792,0.655
ts-voucher-service_energy_Anomaly_high,0,0,0,1801,0.0,0.0,0.0,0.0
