service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,4,1,33,1734,0.8,0.108,0.19,0.105
redis_energy_Anomaly_high,9,1,18,1744,0.9,0.333,0.486,0.321
ts-account-mongo_energy_Anomaly_high,7,2,69,1694,0.778,0.092,0.165,0.09
ts-admin-basic-info-service_energy_Anomaly_high,9,1,84,1678,0.9,0.097,0.175,0.096
ts-admin-order-service_energy_Anomaly_high,3,0,9,1760,1.0,0.25,0.4,0.25
ts-admin-route-service_energy_Anomaly_high,6,1,64,1701,0.857,0.086,0.156,0.085
ts-admin-travel-service_energy_Anomaly_high,11,2,81,1678,0.846,0.12,0.21,0.117
ts-admin-user-service_energy_Anomaly_high,5,0,14,1753,1.0,0.263,0.416,0.263
ts-assurance-mongo_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_high,0,0,1,1771,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_high,0,0,2,1770,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_high,6,0,7,1759,1.0,0.462,0.632,0.462
ts-basic-service_energy_Anomaly_high,7,0,12,1753,1.0,0.368,0.538,0.368
ts-cancel-service_energy_Anomaly_high,3,0,10,1759,1.0,0.231,0.375,0.231
ts-config-mongo_energy_Anomaly_high,5,0,41,1726,1.0,0.109,0.197,0.109
ts-config-service_energy_Anomaly_high,7,0,11,1754,1.0,0.389,0.56,0.389
ts-consign-mongo_energy_Anomaly_high,5,0,61,1706,1.0,0.076,0.141,0.076
ts-consign-price-mongo_energy_Anomaly_high,8,0,54,1710,1.0,0.129,0.229,0.129
ts-consign-price-service_energy_Anomaly_high,10,1,39,1722,0.909,0.204,0.333,0.2
ts-consign-service_energy_Anomaly_high,8,1,37,1726,0.889,0.178,0.297,0.174
ts-contacts-mongo_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_high,6,2,6,1758,0.75,0.5,0.6,0.429
