service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_low,19,1,18,1734,0.95,0.514,0.667,0.5
redis_energy_Anomaly_low,23,0,4,1745,1.0,0.852,0.92,0.852
ts-account-mongo_energy_Anomaly_low,47,6,29,1690,0.887,0.618,0.728,0.573
ts-admin-basic-info-service_energy_Anomaly_low,50,4,43,1675,0.926,0.538,0.681,0.515
ts-admin-order-service_energy_Anomaly_low,9,2,3,1758,0.818,0.75,0.783,0.643
ts-admin-route-service_energy_Anomaly_low,50,5,20,1697,0.909,0.714,0.8,0.667
ts-admin-travel-service_energy_Anomaly_low,60,4,32,1676,0.938,0.652,0.769,0.625
ts-admin-user-service_energy_Anomaly_low,13,0,6,1753,1.0,0.684,0.812,0.684
ts-assurance-mongo_energy_Anomaly_low,0,0,0,1772,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_low,0,0,0,1772,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_low,1,0,0,1771,1.0,1.0,1.0,1.0
ts-auth-service_energy_Anomaly_low,2,0,0,1770,1.0,1.0,1.0,1.0
ts-avatar-service_energy_Anomaly_low,11,0,2,1759,1.0,0.846,0.917,0.846
ts-basic-service_energy_Anomaly_low,10,0,9,1753,1.0,0.526,0.689,0.526
ts-cancel-service_energy_Anomaly_low,13,4,0,1755,0.765,1.0,0.867,0.765
ts-config-mongo_energy_Anomaly_low,7,0,39,1726,1.0,0.152,0.264,0.152
ts-config-service_energy_Anomaly_low,8,1,10,1753,0.889,0.444,0.592,0.421
ts-consign-mongo_energy_Anomaly_low,51,1,15,1705,0.981,0.773,0.865,0.761
ts-consign-price-mongo_energy_Anomaly_low,33,1,29,1709,0.971,0.532,0.687,0.524
ts-consign-price-service_energy_Anomaly_low,34,5,15,1718,0.872,0.694,0.773,0.63
ts-consign-service_energy_Anomaly_low,21,3,24,1724,0.875,0.467,0.609,0.438
ts-contacts-mongo_energy_Anomaly_low,0,0,0,1772,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_low,0,0,0,1772,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_low,12,6,0,1754,0.667,1.0,0.8,0.667
ts-food-map-mongo_energy_Anomaly_low,0,0,0,1772,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_low,0,0,0,1772,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_low,0,0,0,1772,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_low,0,0,0,1772,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_low,42,3,27,1700,0.933,0.609,0.737,0.583
ts-inside-payment-service_energy_Anomaly_low,30,3,31,1708,0.909,0.492,0.638,0.469
ts-news-mongo_energy_Anomaly_low,38,3,29,1702,0.927,0.567,0.704,0.543
ts-news-service_energy_Anomaly_low,0,0,1,1771,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_low,9,0,11,1752,1.0,0.45,0.621,0.45
ts-order-mongo_energy_Anomaly_low,0,0,0,1772,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_low,8,0,42,1722,1.0,0.16,0.276,0.16
ts-order-other-service_energy_Anomaly_low,7,0,14,1751,1.0,0.333,0.5,0.333
