service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,2,0,12,1784,1.0,0.143,0.25,0.143
redis_energy_Anomaly_high,11,1,16,1770,0.917,0.407,0.564,0.393
ts-account-mongo_energy_Anomaly_high,8,1,49,1740,0.889,0.14,0.242,0.138
ts-admin-basic-info-service_energy_Anomaly_high,7,1,78,1712,0.875,0.082,0.15,0.081
ts-admin-order-service_energy_Anomaly_high,1,0,1,1796,1.0,0.5,0.667,0.5
ts-admin-route-service_energy_Anomaly_high,10,3,64,1721,0.769,0.135,0.23,0.13
ts-admin-travel-service_energy_Anomaly_high,11,7,68,1712,0.611,0.139,0.226,0.128
ts-admin-user-service_energy_Anomaly_high,2,0,6,1790,1.0,0.25,0.4,0.25
ts-assurance-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_high,5,0,15,1778,1.0,0.25,0.4,0.25
ts-basic-service_energy_Anomaly_high,5,0,3,1790,1.0,0.625,0.769,0.625
ts-cancel-service_energy_Anomaly_high,1,0,4,1793,1.0,0.2,0.333,0.2
ts-config-mongo_energy_Anomaly_high,3,2,10,1783,0.6,0.231,0.334,0.2
ts-config-service_energy_Anomaly_high,5,1,12,1780,0.833,0.294,0.435,0.278
ts-consign-mongo_energy_Anomaly_high,3,0,55,1740,1.0,0.052,0.099,0.052
ts-consign-price-mongo_energy_Anomaly_high,7,1,32,1758,0.875,0.179,0.297,0.175
ts-consign-price-service_energy_Anomaly_high,5,0,19,1774,1.0,0.208,0.344,0.208
ts-consign-service_energy_Anomaly_high,3,0,15,1780,1.0,0.167,0.286,0.167
ts-contacts-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_high,3,2,3,1790,0.6,0.5,0.545,0.375
ts-food-map-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_high,6,1,55,1736,0.857,0.098,0.176,0.097
ts-inside-payment-service_energy_Anomaly_high,10,6,21,1761,0.625,0.323,0.426,0.27
ts-news-mongo_energy_Anomaly_high,8,1,40,1749,0.889,0.167,0.281,0.163
ts-news-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_high,9,4,6,1779,0.692,0.6,0.643,0.474
ts-order-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_high,1,1,2,1794,0.5,0.333,0.4,0.25
ts-order-other-service_energy_Anomaly_high,4,0,7,1787,1.0,0.364,0.534,0.364
ts-order-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-payment-mongo_energy_Anomaly_high,5,0,46,1747,1.0,0.098,0.179,0.098
ts-payment-service_energy_Anomaly_high,5,1,18,1774,0.833,0.217,0.344,0.208
ts-preserve-other-service_energy_Anomaly_high,2,2,3,1791,0.5,0.4,0.444,0.286
ts-preserve-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-price-mongo_energy_Anomaly_high,1,0,5,1792,1.0,0.167,0.286,0.167
ts-price-service_energy_Anomaly_high,5,0,6,1787,1.0,0.455,0.625,0.455
ts-rebook-mongo_energy_Anomaly_high,6,0,48,1744,1.0,0.111,0.2,0.111
ts-rebook-service_energy_Anomaly_high,11,6,69,1712,0.647,0.138,0.227,0.128
ts-route-mongo_energy_Anomaly_high,1,0,0,1797,1.0,1.0,1.0,1.0
ts-route-plan-service_energy_Anomaly_high,13,6,68,1711,0.684,0.16,0.259,0.149
ts-route-service_energy_Anomaly_high,5,0,10,1783,1.0,0.333,0.5,0.333
ts-seat-service_energy_Anomaly_high,4,1,7,1786,0.8,0.364,0.5,0.333
ts-security-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-security-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-station-mongo_energy_Anomaly_high,1,0,2,1795,1.0,0.333,0.5,0.333
ts-station-service_energy_Anomaly_high,4,0,4,1790,1.0,0.5,0.667,0.5
ts-ticket-office-mongo_energy_Anomaly_high,7,1,46,1744,0.875,0.132,0.229,0.13
ts-ticket-office-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-ticketinfo-service_energy_Anomaly_high,6,0,5,1787,1.0,0.545,0.706,0.545
ts-train-mongo_energy_Anomaly_high,1,0,2,1795,1.0,0.333,0.5,0.333
ts-train-service_energy_Anomaly_high,6,0,4,1788,1.0,0.6,0.75,0.6
ts-travel-mongo_energy_Anomaly_high,1,0,2,1795,1.0,0.333,0.5,0.333
ts-travel-plan-service_energy_Anomaly_high,8,2,56,1732,0.8,0.125,0.216,0.121
ts-travel-service_energy_Anomaly_high,9,0,32,1757,1.0,0.22,0.361,0.22
ts-travel2-mongo_energy_Anomaly_high,3,0,5,1790,1.0,0.375,0.545,0.375
ts-travel2-service_energy_Anomaly_high,6,2,8,1782,0.75,0.429,0.546,0.375
ts-ui-dashboard_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-user-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-user-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-verification-code-service_energy_Anomaly_high,2,0,6,1790,1.0,0.25,0.4,0.25
ts-voucher-mysql_energy_Anomaly_high,5,0,12,1781,1.0,0.294,0.454,0.294
ts-voucher-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
