service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_low,9,1,5,1783,0.9,0.643,0.75,0.6
redis_energy_Anomaly_low,27,4,0,1767,0.871,1.0,0.931,0.871
ts-account-mongo_energy_Anomaly_low,43,4,14,1737,0.915,0.754,0.827,0.705
ts-admin-basic-info-service_energy_Anomaly_low,67,11,18,1702,0.859,0.788,0.822,0.698
ts-admin-order-service_energy_Anomaly_low,1,0,1,1796,1.0,0.5,0.667,0.5
ts-admin-route-service_energy_Anomaly_low,43,15,31,1709,0.741,0.581,0.651,0.483
ts-admin-travel-service_energy_Anomaly_low,74,8,5,1711,0.902,0.937,0.919,0.851
ts-admin-user-service_energy_Anomaly_low,4,0,4,1790,1.0,0.5,0.667,0.5
ts-assurance-mongo_energy_Anomaly_low,0,0,0,1798,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_low,0,0,0,1798,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_low,0,0,0,1798,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_low,0,0,0,1798,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_low,14,0,6,1778,1.0,0.7,0.824,0.7
ts-basic-service_energy_Anomaly_low,6,0,2,1790,1.0,0.75,0.857,0.75
ts-cancel-service_energy_Anomaly_low,5,0,0,1793,1.0,1.0,1.0,1.0
ts-config-mongo_energy_Anomaly_low,3,0,10,1785,1.0,0.231,0.375,0.231
ts-config-service_energy_Anomaly_low,6,0,11,1781,1.0,0.353,0.522,0.353
ts-consign-mongo_energy_Anomaly_low,48,4,10,1736,0.923,0.828,0.873,0.774
ts-consign-price-mongo_energy_Anomaly_low,23,4,16,1755,0.852,0.59,0.697,0.535
ts-consign-price-service_energy_Anomaly_low,18,3,6,1771,0.857,0.75,0.8,0.667
ts-consign-service_energy_Anomaly_low,10,1,8,1779,0.909,0.556,0.69,0.526
ts-contacts-mongo_energy_Anomaly_low,0,0,0,1798,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_low,0,0,0,1798,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_low,6,2,0,1790,0.75,1.0,0.857,0.75
