service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_low,7,1,22,1767,0.875,0.241,0.378,0.233
redis_energy_Anomaly_low,9,2,16,1770,0.818,0.36,0.5,0.333
ts-account-mongo_energy_Anomaly_low,4,0,68,1725,1.0,0.056,0.106,0.056
ts-admin-basic-info-service_energy_Anomaly_low,6,3,110,1678,0.667,0.052,0.096,0.05
ts-admin-order-service_energy_Anomaly_low,1,0,10,1786,1.0,0.091,0.167,0.091
ts-admin-route-service_energy_Anomaly_low,9,1,121,1666,0.9,0.069,0.128,0.069
ts-admin-travel-service_energy_Anomaly_low,8,4,128,1657,0.667,0.059,0.108,0.057
ts-admin-user-service_energy_Anomaly_low,6,0,16,1775,1.0,0.273,0.429,0.273
ts-assurance-mongo_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_low,1,0,3,1793,1.0,0.25,0.4,0.25
ts-avatar-service_energy_Anomaly_low,7,1,10,1779,0.875,0.412,0.56,0.389
ts-basic-service_energy_Anomaly_low,10,0,12,1775,1.0,0.455,0.625,0.455
ts-cancel-service_energy_Anomaly_low,14,9,27,1747,0.609,0.341,0.437,0.28
ts-config-mongo_energy_Anomaly_low,7,0,35,1755,1.0,0.167,0.286,0.167
ts-config-service_energy_Anomaly_low,14,0,1,1782,1.0,0.933,0.965,0.933
ts-consign-mongo_energy_Anomaly_low,8,1,72,1716,0.889,0.1,0.18,0.099
ts-consign-price-mongo_energy_Anomaly_low,5,1,58,1733,0.833,0.079,0.144,0.078
ts-consign-price-service_energy_Anomaly_low,8,1,49,1739,0.889,0.14,0.242,0.138
ts-consign-service_energy_Anomaly_low,10,3,53,1731,0.769,0.159,0.264,0.152
ts-contacts-mongo_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_low,9,6,32,1750,0.6,0.22,0.322,0.191
ts-food-map-mongo_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_low,5,0,52,1740,1.0,0.088,0.162,0.088
ts-inside-payment-service_energy_Anomaly_low,8,1,57,1731,0.889,0.123,0.216,0.121
ts-news-mongo_energy_Anomaly_low,7,1,59,1730,0.875,0.106,0.189,0.104
ts-news-service_energy_Anomaly_low,1,0,0,1796,1.0,1.0,1.0,1.0
ts-notification-service_energy_Anomaly_low,11,5,19,1762,0.688,0.367,0.479,0.314
ts-order-mongo_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_low,5,0,44,1748,1.0,0.102,0.185,0.102
ts-order-other-service_energy_Anomaly_low,9,0,11,1777,1.0,0.45,0.621,0.45
ts-order-service_energy_Anomaly_low,0,0,0,1797,0.0,0.0,0.0,0.0
ts-payment-mongo_energy_Anomaly_low,8,0,40,1749,1.0,0.167,0.286,0.167
ts-payment-service_energy_Anomaly_low,7,2,58,1730,0.778,0.108,0.19,0.104
ts-preserve-other-service_energy_Anomaly_low,5,1,51,1740,0.833,0.089,0.161,0.088
