service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,21,0,8,1768,1.0,0.724,0.84,0.724
redis_energy_Anomaly_high,24,0,1,1772,1.0,0.96,0.98,0.96
ts-account-mongo_energy_Anomaly_high,22,4,50,1721,0.846,0.306,0.449,0.289
ts-admin-basic-info-service_energy_Anomaly_high,78,0,38,1681,1.0,0.672,0.804,0.672
ts-admin-order-service_energy_Anomaly_high,10,0,1,1786,1.0,0.909,0.952,0.909
ts-admin-route-service_energy_Anomaly_high,94,0,36,1667,1.0,0.723,0.839,0.723
ts-admin-travel-service_energy_Anomaly_high,93,0,43,1661,1.0,0.684,0.812,0.684
ts-admin-user-service_energy_Anomaly_high,14,0,8,1775,1.0,0.636,0.778,0.636
ts-assurance-mongo_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_high,4,0,0,1793,1.0,1.0,1.0,1.0
ts-avatar-service_energy_Anomaly_high,5,0,12,1780,1.0,0.294,0.454,0.294
ts-basic-service_energy_Anomaly_high,15,0,7,1775,1.0,0.682,0.811,0.682
ts-cancel-service_energy_Anomaly_high,41,21,0,1735,0.661,1.0,0.796,0.661
ts-config-mongo_energy_Anomaly_high,11,0,31,1755,1.0,0.262,0.415,0.262
ts-config-service_energy_Anomaly_high,7,0,8,1782,1.0,0.467,0.637,0.467
ts-consign-mongo_energy_Anomaly_high,30,0,50,1717,1.0,0.375,0.545,0.375
ts-consign-price-mongo_energy_Anomaly_high,22,0,41,1734,1.0,0.349,0.517,0.349
ts-consign-price-service_energy_Anomaly_high,18,8,39,1732,0.692,0.316,0.434,0.277
ts-consign-service_energy_Anomaly_high,16,2,47,1732,0.889,0.254,0.395,0.246
ts-contacts-mongo_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_high,41,21,0,1735,0.661,1.0,0.796,0.661
ts-food-map-mongo_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_high,18,0,39,1740,1.0,0.316,0.48,0.316
ts-inside-payment-service_energy_Anomaly_high,19,0,46,1732,1.0,0.292,0.452,0.292
ts-news-mongo_energy_Anomaly_high,22,0,44,1731,1.0,0.333,0.5,0.333
ts-news-service_energy_Anomaly_high,0,0,1,1796,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_high,16,0,14,1767,1.0,0.533,0.695,0.533
ts-order-mongo_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_high,10,0,39,1748,1.0,0.204,0.339,0.204
ts-order-other-service_energy_Anomaly_high,10,0,10,1777,1.0,0.5,0.667,0.5
ts-order-service_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-payment-mongo_energy_Anomaly_high,16,3,32,1746,0.842,0.333,0.477,0.314
ts-payment-service_energy_Anomaly_high,9,0,56,1732,1.0,0.138,0.243,0.138
ts-preserve-other-service_energy_Anomaly_high,56,17,0,1724,0.767,1.0,0.868,0.767
ts-preserve-service_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-price-mongo_energy_Anomaly_high,15,0,32,1750,1.0,0.319,0.484,0.319
ts-price-service_energy_Anomaly_high,2,0,24,1771,1.0,0.077,0.143,0.077
ts-rebook-mongo_energy_Anomaly_high,26,0,48,1723,1.0,0.351,0.52,0.351
ts-rebook-service_energy_Anomaly_high,79,0,48,1670,1.0,0.622,0.767,0.622
ts-route-mongo_energy_Anomaly_high,9,0,36,1752,1.0,0.2,0.333,0.2
ts-route-plan-service_energy_Anomaly_high,86,0,39,1672,1.0,0.688,0.815,0.688
ts-route-service_energy_Anomaly_high,8,0,13,1776,1.0,0.381,0.552,0.381
ts-seat-service_energy_Anomaly_high,10,1,3,1783,0.909,0.769,0.833,0.714
ts-security-mongo_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-security-service_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-station-mongo_energy_Anomaly_high,10,0,33,1754,1.0,0.233,0.378,0.233
ts-station-service_energy_Anomaly_high,12,0,10,1775,1.0,0.545,0.706,0.545
ts-ticket-office-mongo_energy_Anomaly_high,27,0,42,1728,1.0,0.391,0.562,0.391
ts-ticket-office-service_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
ts-ticketinfo-service_energy_Anomaly_high,7,0,23,1767,1.0,0.233,0.378,0.233
ts-train-mongo_energy_Anomaly_high,8,0,19,1770,1.0,0.296,0.457,0.296
ts-train-service_energy_Anomaly_high,8,0,3,1786,1.0,0.727,0.842,0.727
ts-travel-mongo_energy_Anomaly_high,10,0,39,1748,1.0,0.204,0.339,0.204
ts-travel-plan-service_energy_Anomaly_high,72,0,49,1676,1.0,0.595,0.746,0.595
ts-travel-service_energy_Anomaly_high,38,2,21,1736,0.95,0.644,0.768,0.623
ts-travel2-mongo_energy_Anomaly_high,11,0,33,1753,1.0,0.25,0.4,0.25
ts-travel2-service_energy_Anomaly_high,11,0,9,1777,1.0,0.55,0.71,0.55
ts-ui-dashboard_energy_Anomaly_high,9,0,13,1775,1.0,0.409,0.581,0.409
ts-user-mongo_energy_Anomaly_high,1,0,0,1796,1.0,1.0,1.0,1.0
ts-user-service_energy_Anomaly_high,3,0,0,1794,1.0,1.0,1.0,1.0
ts-verification-code-service_energy_Anomaly_high,2,0,31,1764,1.0,0.061,0.115,0.061
ts-voucher-mysql_energy_Anomaly_high,11,4,27,1755,0.733,0.289,0.415,0.262
ts-voucher-service_energy_Anomaly_high,0,0,0,1797,0.0,0.0,0.0,0.0
