service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_low,6,1,16,1777,0.857,0.273,0.414,0.261
redis_energy_Anomaly_low,13,1,27,1759,0.929,0.325,0.482,0.317
ts-account-mongo_energy_Anomaly_low,10,3,68,1719,0.769,0.128,0.219,0.123
ts-admin-basic-info-service_energy_Anomaly_low,11,5,85,1699,0.688,0.115,0.197,0.109
ts-admin-order-service_energy_Anomaly_low,6,0,19,1775,1.0,0.24,0.387,0.24
ts-admin-route-service_energy_Anomaly_low,13,5,65,1717,0.722,0.167,0.271,0.157
ts-admin-travel-service_energy_Anomaly_low,7,2,82,1709,0.778,0.079,0.143,0.077
ts-admin-user-service_energy_Anomaly_low,2,0,17,1781,1.0,0.105,0.19,0.105
ts-assurance-mongo_energy_Anomaly_low,9,0,19,1772,1.0,0.321,0.486,0.321
ts-assurance-service_energy_Anomaly_low,19,0,3,1778,1.0,0.864,0.927,0.864
ts-auth-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_low,6,1,9,1784,0.857,0.4,0.545,0.375
ts-basic-service_energy_Anomaly_low,3,0,10,1787,1.0,0.231,0.375,0.231
ts-cancel-service_energy_Anomaly_low,5,2,5,1788,0.714,0.5,0.588,0.417
ts-config-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_low,2,0,3,1795,1.0,0.4,0.571,0.4
ts-consign-mongo_energy_Anomaly_low,7,1,55,1737,0.875,0.113,0.2,0.111
ts-consign-price-mongo_energy_Anomaly_low,7,1,63,1729,0.875,0.1,0.179,0.099
ts-consign-price-service_energy_Anomaly_low,9,3,33,1755,0.75,0.214,0.333,0.2
ts-consign-service_energy_Anomaly_low,11,2,24,1763,0.846,0.314,0.458,0.297
ts-contacts-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_low,9,0,16,1775,1.0,0.36,0.529,0.36
ts-execute-service_energy_Anomaly_low,4,1,10,1785,0.8,0.286,0.421,0.267
ts-food-map-mongo_energy_Anomaly_low,2,1,4,1793,0.667,0.333,0.444,0.286
ts-food-map-service_energy_Anomaly_low,8,0,18,1774,1.0,0.308,0.471,0.308
ts-food-mongo_energy_Anomaly_low,6,0,24,1770,1.0,0.2,0.333,0.2
ts-food-service_energy_Anomaly_low,11,0,14,1775,1.0,0.44,0.611,0.44
ts-inside-payment-mongo_energy_Anomaly_low,8,2,65,1725,0.8,0.11,0.193,0.107
ts-inside-payment-service_energy_Anomaly_low,11,4,39,1746,0.733,0.22,0.338,0.204
ts-news-mongo_energy_Anomaly_low,10,3,53,1734,0.769,0.159,0.264,0.152
ts-news-service_energy_Anomaly_low,1,0,0,1799,1.0,1.0,1.0,1.0
ts-notification-service_energy_Anomaly_low,9,1,9,1781,0.9,0.5,0.643,0.474
ts-order-mongo_energy_Anomaly_low,8,0,15,1777,1.0,0.348,0.516,0.348
ts-order-other-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-order-other-service_energy_Anomaly_low,5,0,1,1794,1.0,0.833,0.909,0.833
ts-order-service_energy_Anomaly_low,8,0,12,1780,1.0,0.4,0.571,0.4
ts-payment-mongo_energy_Anomaly_low,6,1,43,1750,0.857,0.122,0.214,0.12
ts-payment-service_energy_Anomaly_low,9,2,13,1776,0.818,0.409,0.545,0.375
ts-preserve-other-service_energy_Anomaly_low,8,3,19,1770,0.727,0.296,0.421,0.267
ts-preserve-service_energy_Anomaly_low,10,0,10,1780,1.0,0.5,0.667,0.5
ts-price-mongo_energy_Anomaly_low,2,1,2,1795,0.667,0.5,0.572,0.4
ts-price-service_energy_Anomaly_low,7,0,7,1786,1.0,0.5,0.667,0.5
ts-rebook-mongo_energy_Anomaly_low,5,3,75,1717,0.625,0.062,0.113,0.06
ts-rebook-service_energy_Anomaly_low,7,0,81,1712,1.0,0.08,0.148,0.08
ts-route-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-route-plan-service_energy_Anomaly_low,8,4,82,1706,0.667,0.089,0.157,0.085
ts-route-service_energy_Anomaly_low,4,0,3,1793,1.0,0.571,0.727,0.571
ts-seat-service_energy_Anomaly_low,9,0,8,1783,1.0,0.529,0.692,0.529
ts-security-mongo_energy_Anomaly_low,5,2,13,1780,0.714,0.278,0.4,0.25
ts-security-service_energy_Anomaly_low,8,0,16,1776,1.0,0.333,0.5,0.333
ts-station-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-station-service_energy_Anomaly_low,12,0,4,1784,1.0,0.75,0.857,0.75
ts-ticket-office-mongo_energy_Anomaly_low,8,0,59,1733,1.0,0.119,0.213,0.119
ts-ticket-office-service_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-ticketinfo-service_energy_Anomaly_low,3,0,5,1792,1.0,0.375,0.545,0.375
ts-train-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-train-service_energy_Anomaly_low,13,0,8,1779,1.0,0.619,0.765,0.619
ts-travel-mongo_energy_Anomaly_low,1,0,9,1790,1.0,0.1,0.182,0.1
ts-travel-plan-service_energy_Anomaly_low,12,5,59,1724,0.706,0.169,0.273,0.158
ts-travel-service_energy_Anomaly_low,8,0,6,1786,1.0,0.571,0.727,0.571
ts-travel2-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-travel2-service_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-ui-dashboard_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-user-mongo_energy_Anomaly_low,1,0,3,1796,1.0,0.25,0.4,0.25
ts-user-service_energy_Anomaly_low,6,0,8,1786,1.0,0.429,0.6,0.429
ts-verification-code-service_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-voucher-mysql_energy_Anomaly_low,6,0,28,1766,1.0,0.176,0.299,0.176
ts-voucher-service_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
