service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,14,0,8,1778,1.0,0.636,0.778,0.636
redis_energy_Anomaly_high,40,0,0,1760,1.0,1.0,1.0,1.0
ts-account-mongo_energy_Anomaly_high,78,3,0,1719,0.963,1.0,0.981,0.963
ts-admin-basic-info-service_energy_Anomaly_high,78,1,18,1703,0.987,0.812,0.891,0.804
ts-admin-order-service_energy_Anomaly_high,13,0,12,1775,1.0,0.52,0.684,0.52
ts-admin-route-service_energy_Anomaly_high,62,0,16,1722,1.0,0.795,0.886,0.795
ts-admin-travel-service_energy_Anomaly_high,82,2,7,1709,0.976,0.921,0.948,0.901
ts-admin-user-service_energy_Anomaly_high,6,0,13,1781,1.0,0.316,0.48,0.316
ts-assurance-mongo_energy_Anomaly_high,12,4,16,1768,0.75,0.429,0.546,0.375
ts-assurance-service_energy_Anomaly_high,22,0,0,1778,1.0,1.0,1.0,1.0
ts-auth-mongo_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_high,2,0,13,1785,1.0,0.133,0.235,0.133
ts-basic-service_energy_Anomaly_high,6,0,7,1787,1.0,0.462,0.632,0.462
ts-cancel-service_energy_Anomaly_high,10,5,0,1785,0.667,1.0,0.8,0.667
ts-config-mongo_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_high,5,0,0,1795,1.0,1.0,1.0,1.0
ts-consign-mongo_energy_Anomaly_high,61,7,1,1731,0.897,0.984,0.938,0.884
ts-consign-price-mongo_energy_Anomaly_high,55,0,15,1730,1.0,0.786,0.88,0.786
ts-consign-price-service_energy_Anomaly_high,28,0,14,1758,1.0,0.667,0.8,0.667
ts-consign-service_energy_Anomaly_high,19,2,16,1763,0.905,0.543,0.679,0.514
ts-contacts-mongo_energy_Anomaly_high,0,0,0,1800,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_high,13,0,12,1775,1.0,0.52,0.684,0.52
ts-execute-service_energy_Anomaly_high,14,7,0,1779,0.667,1.0,0.8,0.667
ts-food-map-mongo_energy_Anomaly_high,6,1,0,1793,0.857,1.0,0.923,0.857
ts-food-map-service_energy_Anomaly_high,11,0,15,1774,1.0,0.423,0.595,0.423
ts-food-mongo_energy_Anomaly_high,7,0,23,1770,1.0,0.233,0.378,0.233
ts-food-service_energy_Anomaly_high,12,0,13,1775,1.0,0.48,0.649,0.48
ts-inside-payment-mongo_energy_Anomaly_high,71,5,2,1722,0.934,0.973,0.953,0.91
ts-inside-payment-service_energy_Anomaly_high,19,0,31,1750,1.0,0.38,0.551,0.38
ts-news-mongo_energy_Anomaly_high,61,0,2,1737,1.0,0.968,0.984,0.968
ts-news-service_energy_Anomaly_high,0,0,1,1799,0.0,0.0,0.0,0.0
