service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_low,10,0,12,1778,1.0,0.455,0.625,0.455
redis_energy_Anomaly_low,32,2,8,1758,0.941,0.8,0.865,0.762
ts-account-mongo_energy_Anomaly_low,62,8,16,1714,0.886,0.795,0.838,0.721
ts-admin-basic-info-service_energy_Anomaly_low,58,9,38,1695,0.866,0.604,0.712,0.552
ts-admin-order-service_energy_Anomaly_low,16,1,9,1774,0.941,0.64,0.762,0.615
ts-admin-route-service_energy_Anomaly_low,51,5,27,1717,0.911,0.654,0.761,0.614
ts-admin-travel-service_energy_Anomaly_low,57,11,32,1700,0.838,0.64,0.726,0.57
ts-admin-user-service_energy_Anomaly_low,5,0,14,1781,1.0,0.263,0.416,0.263
ts-assurance-mongo_energy_Anomaly_low,16,2,12,1770,0.889,0.571,0.695,0.533
ts-assurance-service_energy_Anomaly_low,18,0,4,1778,1.0,0.818,0.9,0.818
ts-auth-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_low,7,1,8,1784,0.875,0.467,0.609,0.438
ts-basic-service_energy_Anomaly_low,7,0,6,1787,1.0,0.538,0.7,0.538
ts-cancel-service_energy_Anomaly_low,10,4,0,1786,0.714,1.0,0.833,0.714
ts-config-mongo_energy_Anomaly_low,0,0,0,1800,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_low,5,0,0,1795,1.0,1.0,1.0,1.0
ts-consign-mongo_energy_Anomaly_low,25,5,37,1733,0.833,0.403,0.543,0.373
ts-consign-price-mongo_energy_Anomaly_low,42,9,28,1721,0.824,0.6,0.694,0.532
ts-consign-price-service_energy_Anomaly_low,25,3,17,1755,0.893,0.595,0.714,0.556
ts-consign-service_energy_Anomaly_low,23,3,12,1762,0.885,0.657,0.754,0.605
