service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_low,0,0,32,1767,0.0,0.0,0.0,0.0
redis_energy_Anomaly_low,0,0,27,1772,0.0,0.0,0.0,0.0
ts-account-mongo_energy_Anomaly_low,0,0,88,1711,0.0,0.0,0.0,0.0
ts-admin-basic-info-service_energy_Anomaly_low,0,0,122,1677,0.0,0.0,0.0,0.0
ts-admin-order-service_energy_Anomaly_low,0,0,23,1776,0.0,0.0,0.0,0.0
ts-admin-route-service_energy_Anomaly_low,0,0,112,1687,0.0,0.0,0.0,0.0
ts-admin-travel-service_energy_Anomaly_low,0,0,125,1674,0.0,0.0,0.0,0.0
ts-admin-user-service_energy_Anomaly_low,2,0,21,1776,1.0,0.087,0.16,0.087
ts-assurance-mongo_energy_Anomaly_low,0,0,17,1782,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_low,4,0,22,1773,1.0,0.154,0.267,0.154
ts-auth-mongo_energy_Anomaly_low,0,0,34,1765,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_low,9,0,24,1766,1.0,0.273,0.429,0.273
ts-avatar-service_energy_Anomaly_low,0,0,22,1777,0.0,0.0,0.0,0.0
ts-basic-service_energy_Anomaly_low,11,0,0,1788,1.0,1.0,1.0,1.0
ts-cancel-service_energy_Anomaly_low,0,0,8,1791,0.0,0.0,0.0,0.0
ts-config-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_low,3,0,8,1788,1.0,0.273,0.429,0.273
ts-consign-mongo_energy_Anomaly_low,0,0,87,1712,0.0,0.0,0.0,0.0
ts-consign-price-mongo_energy_Anomaly_low,0,0,70,1729,0.0,0.0,0.0,0.0
ts-consign-price-service_energy_Anomaly_low,0,0,41,1758,0.0,0.0,0.0,0.0
ts-consign-service_energy_Anomaly_low,0,0,30,1769,0.0,0.0,0.0,0.0
ts-contacts-mongo_energy_Anomaly_low,0,0,44,1755,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_low,7,0,22,1770,1.0,0.241,0.388,0.241
ts-execute-service_energy_Anomaly_low,0,0,18,1781,0.0,0.0,0.0,0.0
ts-food-map-mongo_energy_Anomaly_low,0,0,60,1739,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_low,2,0,26,1771,1.0,0.071,0.133,0.071
ts-food-mongo_energy_Anomaly_low,0,0,17,1782,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_low,11,0,18,1770,1.0,0.379,0.55,0.379
ts-inside-payment-mongo_energy_Anomaly_low,0,0,69,1730,0.0,0.0,0.0,0.0
ts-inside-payment-service_energy_Anomaly_low,0,0,35,1764,0.0,0.0,0.0,0.0
ts-news-mongo_energy_Anomaly_low,0,0,87,1712,0.0,0.0,0.0,0.0
ts-news-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_low,0,0,28,1771,0.0,0.0,0.0,0.0
ts-order-mongo_energy_Anomaly_low,0,0,13,1786,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-order-other-service_energy_Anomaly_low,1,0,7,1791,1.0,0.125,0.222,0.125
ts-order-service_energy_Anomaly_low,15,0,8,1776,1.0,0.652,0.789,0.652
ts-payment-mongo_energy_Anomaly_low,0,0,60,1739,0.0,0.0,0.0,0.0
ts-payment-service_energy_Anomaly_low,0,0,42,1757,0.0,0.0,0.0,0.0
ts-preserve-other-service_energy_Anomaly_low,0,0,10,1789,0.0,0.0,0.0,0.0
ts-preserve-service_energy_Anomaly_low,6,0,18,1775,1.0,0.25,0.4,0.25
ts-price-mongo_energy_Anomaly_low,0,0,6,1793,0.0,0.0,0.0,0.0
ts-price-service_energy_Anomaly_low,0,0,12,1787,0.0,0.0,0.0,0.0
ts-rebook-mongo_energy_Anomaly_low,0,0,88,1711,0.0,0.0,0.0,0.0
ts-rebook-service_energy_Anomaly_low,0,0,101,1698,0.0,0.0,0.0,0.0
ts-route-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-route-plan-service_energy_Anomaly_low,0,0,108,1691,0.0,0.0,0.0,0.0
ts-route-service_energy_Anomaly_low,13,1,0,1785,0.929,1.0,0.963,0.929
ts-seat-service_energy_Anomaly_low,11,0,6,1782,1.0,0.647,0.786,0.647
ts-security-mongo_energy_Anomaly_low,0,0,53,1746,0.0,0.0,0.0,0.0
ts-security-service_energy_Anomaly_low,1,0,29,1769,1.0,0.033,0.064,0.033
ts-station-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-station-service_energy_Anomaly_low,11,0,3,1785,1.0,0.786,0.88,0.786
ts-ticket-office-mongo_energy_Anomaly_low,0,0,62,1737,0.0,0.0,0.0,0.0
ts-ticket-office-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-ticketinfo-service_energy_Anomaly_low,10,0,0,1789,1.0,1.0,1.0,1.0
ts-train-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-train-service_energy_Anomaly_low,7,0,13,1779,1.0,0.35,0.519,0.35
ts-travel-mongo_energy_Anomaly_low,0,0,10,1789,0.0,0.0,0.0,0.0
ts-travel-plan-service_energy_Anomaly_low,0,0,99,1700,0.0,0.0,0.0,0.0
ts-travel-service_energy_Anomaly_low,13,0,1,1785,1.0,0.929,0.963,0.929
ts-travel2-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-travel2-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-ui-dashboard_energy_Anomaly_low,0,0,4,1795,0.0,0.0,0.0,0.0
ts-user-mongo_energy_Anomaly_low,0,0,43,1756,0.0,0.0,0.0,0.0
ts-user-service_energy_Anomaly_low,5,0,27,1767,1.0,0.156,0.27,0.156
ts-verification-code-service_energy_Anomaly_low,0,0,2,1797,0.0,0.0,0.0,0.0
ts-voucher-mysql_energy_Anomaly_low,0,0,34,1765,0.0,0.0,0.0,0.0
ts-voucher-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
