service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_low,14,1,10,1774,0.933,0.583,0.718,0.56
redis_energy_Anomaly_low,32,6,2,1759,0.842,0.941,0.889,0.8
ts-account-mongo_energy_Anomaly_low,73,9,15,1702,0.89,0.83,0.859,0.753
ts-admin-basic-info-service_energy_Anomaly_low,68,7,41,1683,0.907,0.624,0.739,0.586
ts-admin-order-service_energy_Anomaly_low,16,0,5,1778,1.0,0.762,0.865,0.762
ts-admin-route-service_energy_Anomaly_low,74,8,37,1680,0.902,0.667,0.767,0.622
ts-admin-travel-service_energy_Anomaly_low,85,15,36,1663,0.85,0.702,0.769,0.625
ts-admin-user-service_energy_Anomaly_low,9,0,11,1779,1.0,0.45,0.621,0.45
ts-assurance-mongo_energy_Anomaly_low,14,0,8,1777,1.0,0.636,0.778,0.636
ts-assurance-service_energy_Anomaly_low,19,0,1,1779,1.0,0.95,0.974,0.95
ts-auth-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_low,7,0,11,1781,1.0,0.389,0.56,0.389
ts-basic-service_energy_Anomaly_low,9,0,1,1789,1.0,0.9,0.947,0.9
ts-cancel-service_energy_Anomaly_low,17,7,0,1775,0.708,1.0,0.829,0.708
ts-config-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_low,2,0,2,1795,1.0,0.5,0.667,0.5
ts-consign-mongo_energy_Anomaly_low,40,10,49,1700,0.8,0.449,0.575,0.404
ts-consign-price-mongo_energy_Anomaly_low,28,3,25,1743,0.903,0.528,0.666,0.5
ts-consign-price-service_energy_Anomaly_low,33,2,18,1746,0.943,0.647,0.767,0.623
ts-consign-service_energy_Anomaly_low,25,4,12,1758,0.862,0.676,0.758,0.61
ts-contacts-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_low,15,0,11,1773,1.0,0.577,0.732,0.577
ts-execute-service_energy_Anomaly_low,22,12,1,1764,0.647,0.957,0.772,0.629
ts-food-map-mongo_energy_Anomaly_low,11,3,0,1785,0.786,1.0,0.88,0.786
ts-food-map-service_energy_Anomaly_low,7,0,22,1770,1.0,0.241,0.388,0.241
ts-food-mongo_energy_Anomaly_low,17,0,7,1775,1.0,0.708,0.829,0.708
ts-food-service_energy_Anomaly_low,14,0,13,1772,1.0,0.519,0.683,0.519
ts-inside-payment-mongo_energy_Anomaly_low,53,7,24,1715,0.883,0.688,0.773,0.631
ts-inside-payment-service_energy_Anomaly_low,34,1,24,1740,0.971,0.586,0.731,0.576
ts-news-mongo_energy_Anomaly_low,39,1,30,1729,0.975,0.565,0.715,0.557
ts-news-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_low,22,1,2,1774,0.957,0.917,0.937,0.88
ts-order-mongo_energy_Anomaly_low,13,0,8,1778,1.0,0.619,0.765,0.619
ts-order-other-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-order-other-service_energy_Anomaly_low,1,0,0,1798,1.0,1.0,1.0,1.0
ts-order-service_energy_Anomaly_low,11,1,5,1782,0.917,0.688,0.786,0.647
ts-payment-mongo_energy_Anomaly_low,38,2,26,1733,0.95,0.594,0.731,0.576
ts-payment-service_energy_Anomaly_low,23,4,24,1748,0.852,0.489,0.621,0.451
ts-preserve-other-service_energy_Anomaly_low,32,10,0,1757,0.762,1.0,0.865,0.762
ts-preserve-service_energy_Anomaly_low,22,0,5,1772,1.0,0.815,0.898,0.815
ts-price-mongo_energy_Anomaly_low,5,0,0,1794,1.0,1.0,1.0,1.0
ts-price-service_energy_Anomaly_low,9,0,5,1785,1.0,0.643,0.783,0.643
ts-rebook-mongo_energy_Anomaly_low,68,0,10,1721,1.0,0.872,0.932,0.872
ts-rebook-service_energy_Anomaly_low,95,5,13,1686,0.95,0.88,0.914,0.841
ts-route-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-route-plan-service_energy_Anomaly_low,84,20,47,1648,0.808,0.641,0.715,0.556
ts-route-service_energy_Anomaly_low,6,1,2,1790,0.857,0.75,0.8,0.667
ts-seat-service_energy_Anomaly_low,16,0,4,1779,1.0,0.8,0.889,0.8
ts-security-mongo_energy_Anomaly_low,15,1,0,1783,0.938,1.0,0.968,0.938
ts-security-service_energy_Anomaly_low,16,0,11,1772,1.0,0.593,0.745,0.593
ts-station-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-station-service_energy_Anomaly_low,11,0,2,1786,1.0,0.846,0.917,0.846
ts-ticket-office-mongo_energy_Anomaly_low,42,9,35,1713,0.824,0.545,0.656,0.488
ts-ticket-office-service_energy_Anomaly_low,0,0,1,1798,0.0,0.0,0.0,0.0
ts-ticketinfo-service_energy_Anomaly_low,5,0,0,1794,1.0,1.0,1.0,1.0
ts-train-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-train-service_energy_Anomaly_low,15,1,6,1777,0.938,0.714,0.811,0.682
ts-travel-mongo_energy_Anomaly_low,10,3,7,1779,0.769,0.588,0.666,0.5
ts-travel-plan-service_energy_Anomaly_low,70,7,46,1676,0.909,0.603,0.725,0.569
ts-travel-service_energy_Anomaly_low,63,8,11,1717,0.887,0.851,0.869,0.768
ts-travel2-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-travel2-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-ui-dashboard_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-user-mongo_energy_Anomaly_low,2,0,0,1797,1.0,1.0,1.0,1.0
ts-user-service_energy_Anomaly_low,9,0,3,1787,1.0,0.75,0.857,0.75
ts-verification-code-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-voucher-mysql_energy_Anomaly_low,26,2,6,1765,0.929,0.812,0.867,0.765
ts-voucher-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
