service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_low,8,1,29,1761,0.889,0.216,0.348,0.211
redis_energy_Anomaly_low,11,2,23,1763,0.846,0.324,0.469,0.306
ts-account-mongo_energy_Anomaly_low,7,0,76,1716,1.0,0.084,0.155,0.084
ts-admin-basic-info-service_energy_Anomaly_low,10,2,136,1651,0.833,0.068,0.126,0.068
ts-admin-order-service_energy_Anomaly_low,10,1,22,1766,0.909,0.312,0.465,0.303
ts-admin-route-service_energy_Anomaly_low,9,1,135,1654,0.9,0.062,0.116,0.062
ts-admin-travel-service_energy_Anomaly_low,9,2,131,1657,0.818,0.064,0.119,0.063
ts-admin-user-service_energy_Anomaly_low,11,0,10,1778,1.0,0.524,0.688,0.524
ts-assurance-mongo_energy_Anomaly_low,6,0,9,1784,1.0,0.4,0.571,0.4
ts-assurance-service_energy_Anomaly_low,8,0,18,1773,1.0,0.308,0.471,0.308
ts-auth-mongo_energy_Anomaly_low,8,4,58,1729,0.667,0.121,0.205,0.114
ts-auth-service_energy_Anomaly_low,11,5,37,1746,0.688,0.229,0.344,0.208
ts-avatar-service_energy_Anomaly_low,7,0,11,1781,1.0,0.389,0.56,0.389
ts-basic-service_energy_Anomaly_low,6,1,3,1789,0.857,0.667,0.75,0.6
ts-cancel-service_energy_Anomaly_low,8,4,11,1776,0.667,0.421,0.516,0.348
ts-config-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_low,0,0,10,1789,0.0,0.0,0.0,0.0
ts-consign-mongo_energy_Anomaly_low,8,1,79,1711,0.889,0.092,0.167,0.091
ts-consign-price-mongo_energy_Anomaly_low,7,0,72,1720,1.0,0.089,0.163,0.089
ts-consign-price-service_energy_Anomaly_low,11,4,54,1730,0.733,0.169,0.275,0.159
ts-consign-service_energy_Anomaly_low,11,5,43,1740,0.688,0.204,0.315,0.186
ts-contacts-mongo_energy_Anomaly_low,4,0,67,1728,1.0,0.056,0.106,0.056
ts-contacts-service_energy_Anomaly_low,10,0,23,1766,1.0,0.303,0.465,0.303
ts-execute-service_energy_Anomaly_low,10,6,13,1770,0.625,0.435,0.513,0.345
ts-food-map-mongo_energy_Anomaly_low,4,0,72,1723,1.0,0.053,0.101,0.053
ts-food-map-service_energy_Anomaly_low,10,0,22,1767,1.0,0.312,0.476,0.312
ts-food-mongo_energy_Anomaly_low,6,0,5,1788,1.0,0.545,0.706,0.545
ts-food-service_energy_Anomaly_low,9,0,21,1769,1.0,0.3,0.462,0.3
ts-inside-payment-mongo_energy_Anomaly_low,7,0,70,1722,1.0,0.091,0.167,0.091
ts-inside-payment-service_energy_Anomaly_low,10,1,46,1742,0.909,0.179,0.299,0.175
ts-news-mongo_energy_Anomaly_low,9,2,80,1708,0.818,0.101,0.18,0.099
ts-news-service_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_low,13,4,20,1762,0.765,0.394,0.52,0.351
ts-order-mongo_energy_Anomaly_low,7,0,5,1787,1.0,0.583,0.737,0.583
ts-order-other-mongo_energy_Anomaly_low,0,0,1,1798,0.0,0.0,0.0,0.0
ts-order-other-service_energy_Anomaly_low,4,0,2,1793,1.0,0.667,0.8,0.667
ts-order-service_energy_Anomaly_low,6,0,25,1768,1.0,0.194,0.325,0.194
ts-payment-mongo_energy_Anomaly_low,6,1,68,1724,0.857,0.081,0.148,0.08
ts-payment-service_energy_Anomaly_low,14,4,55,1726,0.778,0.203,0.322,0.192
ts-preserve-other-service_energy_Anomaly_low,8,2,37,1752,0.8,0.178,0.291,0.17
ts-preserve-service_energy_Anomaly_low,7,0,25,1767,1.0,0.219,0.359,0.219
ts-price-mongo_energy_Anomaly_low,8,1,6,1784,0.889,0.571,0.695,0.533
