service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_low,0,0,37,1762,0.0,0.0,0.0,0.0
redis_energy_Anomaly_low,0,0,34,1765,0.0,0.0,0.0,0.0
ts-account-mongo_energy_Anomaly_low,0,0,83,1716,0.0,0.0,0.0,0.0
ts-admin-basic-info-service_energy_Anomaly_low,0,0,146,1653,0.0,0.0,0.0,0.0
ts-admin-order-service_energy_Anomaly_low,0,0,32,1767,0.0,0.0,0.0,0.0
ts-admin-route-service_energy_Anomaly_low,0,0,144,1655,0.0,0.0,0.0,0.0
ts-admin-travel-service_energy_Anomaly_low,0,0,140,1659,0.0,0.0,0.0,0.0
ts-admin-user-service_energy_Anomaly_low,0,0,21,1778,0.0,0.0,0.0,0.0
ts-assurance-mongo_energy_Anomaly_low,0,0,15,1784,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_low,0,0,26,1773,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_low,0,0,66,1733,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_low,0,0,48,1751,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_low,0,0,18,1781,0.0,0.0,0.0,0.0
ts-basic-service_energy_Anomaly_low,0,0,9,1790,0.0,0.0,0.0,0.0
ts-cancel-service_energy_Anomaly_low,0,0,19,1780,0.0,0.0,0.0,0.0
ts-config-mongo_energy_Anomaly_low,0,0,0,1799,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_low,0,0,10,1789,0.0,0.0,0.0,0.0
ts-consign-mongo_energy_Anomaly_low,0,0,87,1712,0.0,0.0,0.0,0.0
ts-consign-price-mongo_energy_Anomaly_low,0,0,79,1720,0.0,0.0,0.0,0.0
ts-consign-price-service_energy_Anomaly_low,0,0,65,1734,0.0,0.0,0.0,0.0
ts-consign-service_energy_Anomaly_low,0,0,54,1745,0.0,0.0,0.0,0.0
ts-contacts-mongo_energy_Anomaly_low,0,0,71,1728,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_low,0,0,33,1766,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_low,0,0,23,1776,0.0,0.0,0.0,0.0
ts-food-map-mongo_energy_Anomaly_low,0,0,76,1723,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_low,0,0,32,1767,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_low,0,0,11,1788,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_low,0,0,30,1769,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_low,0,0,77,1722,0.0,0.0,0.0,0.0
ts-inside-payment-service_energy_Anomaly_low,0,0,56,1743,0.0,0.0,0.0,0.0
