service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,12,0,25,1762,1.0,0.324,0.489,0.324
redis_energy_Anomaly_high,27,0,7,1765,1.0,0.794,0.885,0.794
ts-account-mongo_energy_Anomaly_high,32,0,51,1716,1.0,0.386,0.557,0.386
ts-admin-basic-info-service_energy_Anomaly_high,65,0,81,1653,1.0,0.445,0.616,0.445
ts-admin-order-service_energy_Anomaly_high,10,0,22,1767,1.0,0.312,0.476,0.312
ts-admin-route-service_energy_Anomaly_high,86,0,58,1655,1.0,0.597,0.748,0.597
ts-admin-travel-service_energy_Anomaly_high,70,0,70,1659,1.0,0.5,0.667,0.5
ts-admin-user-service_energy_Anomaly_high,6,0,15,1778,1.0,0.286,0.445,0.286
ts-assurance-mongo_energy_Anomaly_high,9,2,6,1782,0.818,0.6,0.692,0.529
ts-assurance-service_energy_Anomaly_high,5,0,21,1773,1.0,0.192,0.322,0.192
ts-auth-mongo_energy_Anomaly_high,8,0,58,1733,1.0,0.121,0.216,0.121
ts-auth-service_energy_Anomaly_high,10,0,38,1751,1.0,0.208,0.344,0.208
ts-avatar-service_energy_Anomaly_high,6,0,12,1781,1.0,0.333,0.5,0.333
ts-basic-service_energy_Anomaly_high,4,1,5,1789,0.8,0.444,0.571,0.4
ts-cancel-service_energy_Anomaly_high,19,8,0,1772,0.704,1.0,0.826,0.704
ts-config-mongo_energy_Anomaly_high,0,0,0,1799,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_high,2,0,8,1789,1.0,0.2,0.333,0.2
ts-consign-mongo_energy_Anomaly_high,27,0,60,1712,1.0,0.31,0.473,0.31
ts-consign-price-mongo_energy_Anomaly_high,27,0,52,1720,1.0,0.342,0.51,0.342
ts-consign-price-service_energy_Anomaly_high,19,3,46,1731,0.864,0.292,0.436,0.279
ts-consign-service_energy_Anomaly_high,7,0,47,1745,1.0,0.13,0.23,0.13
ts-contacts-mongo_energy_Anomaly_high,6,0,65,1728,1.0,0.085,0.157,0.085
ts-contacts-service_energy_Anomaly_high,16,0,17,1766,1.0,0.485,0.653,0.485
ts-execute-service_energy_Anomaly_high,23,12,0,1764,0.657,1.0,0.793,0.657
ts-food-map-mongo_energy_Anomaly_high,7,0,69,1723,1.0,0.092,0.168,0.092
ts-food-map-service_energy_Anomaly_high,22,0,10,1767,1.0,0.688,0.815,0.688
ts-food-mongo_energy_Anomaly_high,10,0,1,1788,1.0,0.909,0.952,0.909
ts-food-service_energy_Anomaly_high,7,0,23,1769,1.0,0.233,0.378,0.233
ts-inside-payment-mongo_energy_Anomaly_high,28,0,49,1722,1.0,0.364,0.534,0.364
ts-inside-payment-service_energy_Anomaly_high,32,4,24,1739,0.889,0.571,0.695,0.533
ts-news-mongo_energy_Anomaly_high,26,0,63,1710,1.0,0.292,0.452,0.292
ts-news-service_energy_Anomaly_high,0,0,0,1799,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_high,11,0,22,1766,1.0,0.333,0.5,0.333
