Model,Level,Scenario,Service,Users,Metric,Value
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,0.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,0.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,0.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,0.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,0.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,0.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,0.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,0.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@1,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,0.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
circa,high,scenario_A,front-end,100,Precision@2,1.0
