Algorithm,Precision Level,Min,Max,Median,Mean,SD,CV,MAP
causalRCA,Precision@1,0.0,1.0,0.0,0.017,0.128,0.016,0.035
causalRCA,Precision@2,0.0,1.0,0.0,0.038,0.19,0.036,0.035
causalRCA,Precision@3,0.0,1.0,0.0,0.05,0.218,0.048,0.035
circa,Precision@1,0.0,1.0,0.0,0.033,0.18,0.032,0.065
circa,Precision@2,0.0,1.0,0.0,0.05,0.218,0.048,0.065
circa,Precision@3,0.0,1.0,0.0,0.112,0.316,0.1,0.065
MicroRCA,Precision@1,0.0,0.0,0.0,0.0,0.0,0.0,0.071
MicroRCA,Precision@2,0.0,1.0,0.0,0.079,0.27,0.073,0.071
MicroRCA,Precision@3,0.0,1.0,0.0,0.133,0.34,0.116,0.071
rcd,Precision@1,0.0,1.0,0.0,0.388,0.487,0.238,0.508
rcd,Precision@2,0.0,1.0,1.0,0.538,0.499,0.25,0.508
rcd,Precision@3,0.0,1.0,1.0,0.6,0.49,0.241,0.508
