Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1034,0,5,5.048942970601947,1.970389042980969,39.009883999824524,8649.0,3.3470185742734735,0.0,5,6,6,6,8,9,11,12,28,39,39
GET,/catalogue,5966,0,8,8.570849554309765,4.6321069821715355,51.60396604333073,2795.0,19.311714520421223,0.0,8,9,9,10,11,12,14,16,39,52,52
GET,/category.html,5967,0,5,5.309776265387354,1.9716100068762898,50.04232795909047,11518.0,19.314951482291892,0.0,5,6,6,7,9,10,12,13,43,50,50
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,660,0,5,5.4796180082837855,2.195511944591999,20.341336028650403,10364.0,2.1363948346426427,0.0,5,6,7,7,9,10,12,15,20,20,20
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,655,0,5,5.419026030661211,2.0524009596556425,15.686765080317855,10364.0,2.1202100252892895,0.0,5,6,7,7,9,11,13,14,16,16,16
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,719,0,5,5.326189034034256,2.0669549703598022,18.498016986995935,10364.0,2.3273755850122124,0.0,5,6,7,7,8,10,12,13,18,18,18
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,651,0,5,5.34748461311354,2.135963994078338,19.539917004294693,10364.0,2.1072621778066067,0.0,5,6,6,7,8,10,11,12,20,20,20
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,659,0,5,5.409561815192536,2.1299090003594756,50.05765298847109,10364.0,2.133157872771972,0.0,5,6,7,7,9,10,11,12,50,50,50
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,643,0,5,5.361598900057271,2.1378829842433333,16.304224031046033,10364.0,2.0813664828412413,0.0,5,6,6,7,8,10,12,13,16,16,16
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,620,0,5,5.444050783238884,2.0315300207585096,19.213360035791993,10364.0,2.0069163598158157,0.0,5,6,6,7,9,10,12,14,19,19,19
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,655,0,5,5.24767430691148,2.2076009772717953,45.93870393000543,10364.0,2.1202100252892895,0.0,5,6,6,7,8,9,11,13,46,46,46
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,644,0,5,5.395452219339215,2.192289102822542,40.66954995505512,10364.0,2.084603444711912,0.0,5,6,6,7,8,10,12,13,41,41,41
GET,/login,1034,0,61,61.81102901597181,51.46372597664595,93.77790393773466,13.0,3.3470185742734735,0.0,61,63,64,65,67,68,71,75,84,94,94
,Aggregated,19907,0,6,9.229251293499367,1.970389042980969,93.77790393773466,7814.797207012609,64.43819995944105,0.0,6,8,8,9,11,56,62,65,71,84,94
