Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2000,0,98,100.746935841511,1.6467580571770668,352.99001389648765,8649.0,11.341977998298091,0.0,98,150,180,190,230,250,280,290,350,350,350
GET,/catalogue,5992,0,48,84.51352608573946,3.592289052903652,622.4035989725962,2795.0,33.98056608290108,0.0,48,86,120,140,210,300,380,420,550,620,620
GET,/category.html,5992,0,48,92.96879626601346,1.6344990581274033,573.7323360517621,11518.0,33.98056608290108,0.0,48,94,150,170,260,320,360,390,450,570,570
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,670,0,40,77.64252063769625,1.5082269674167037,451.7275799298659,10364.0,3.7995626294298606,0.0,41,78,110,140,200,290,330,360,450,450,450
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,687,0,44,75.25041863594063,1.6093599842861295,403.63823203369975,10364.0,3.895969442415394,0.0,44,74,100,130,210,280,310,340,400,400,400
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,670,0,48,83.08499828676013,1.6226990846917033,451.1738680303097,10364.0,3.7995626294298606,0.0,50,82,120,160,220,300,330,350,450,450,450
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,652,0,36,76.59691985178041,2.0734809804707766,467.5854609813541,10364.0,3.6974848274451775,0.0,37,74,100,130,220,300,340,360,470,470,470
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,673,0,44,79.69950357182879,1.7731989501044154,491.71449604909867,10364.0,3.816575596427308,0.0,44,82,110,130,210,300,330,370,490,490,490
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,649,0,40,74.56836970727488,1.9816410494968295,397.7715829387307,10364.0,3.6804718604477307,0.0,40,75,100,130,200,270,330,340,400,400,400
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,666,0,32,71.9172890153336,2.0050089806318283,464.9566040607169,10364.0,3.776878673433264,0.0,33,67,92,120,200,290,340,360,460,460,460
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,668,0,44,76.90254095952238,1.8044989556074142,422.13044594973326,10364.0,3.7882206514315624,0.0,44,78,100,130,210,290,340,350,420,420,420
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,657,0,45,76.40130719743368,1.7217600252479315,377.93966801837087,10364.0,3.725839772440923,0.0,45,83,110,140,200,260,320,340,380,380,380
GET,/login,1000,1000,120009.20957291964,120073.85427736331,120009.20957291964,120307.9582019709,0.0,5.670988999149046,5.670988999149046,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
,Aggregated,20976,1000,54,5806.619183834885,1.5082269674167037,120307.9582019709,7873.883676582761,118.95466524615038,5.670988999149046,54,100,150,180,290,450,120000,120000,120000,120000,120000
