Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1720295033,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720295034,1,,Aggregated,0.000000,0.000000,68,68,68,68,68,68,68,68,68,68,68,2,0,9.357852046377957,38.90933300135657,9.357852046377957,68.46081395633519,4331.0
1720295035,2,,Aggregated,0.000000,0.000000,68,68,68,68,68,68,68,68,68,68,68,4,0,9,38.3855179825332,7.518810918554664,68.46081395633519,4331.0
1720295036,3,,Aggregated,0.000000,0.000000,28,66,68,68,68,68,68,68,68,68,68,8,0,12,33.149275128380395,6.016037077642977,68.46081395633519,5037.375
1720295037,4,,Aggregated,2.000000,0.000000,12,36,66,68,68,73,73,73,73,73,73,13,0,12,30.563888148977778,5.700481939129531,73.00220604520291,4867.2307692307695
1720295038,5,,Aggregated,2.000000,0.000000,12,36,67,68,68,73,73,73,73,73,73,15,0,12,31.37752659774075,5.700481939129531,73.00220604520291,4795.733333333334
1720295039,6,,Aggregated,2.666667,0.000000,10,28,66,67,68,69,73,73,73,73,73,21,0,10,27.337902436210285,2.8707670280709863,73.00220604520291,5201.142857142857
1720295040,7,,Aggregated,3.250000,0.000000,10,36,63,67,68,69,73,73,73,73,73,25,0,10,28.660807283595204,2.8707670280709863,73.00220604520291,4715.44
1720295041,8,,Aggregated,3.000000,0.000000,10,34,38,65,68,69,73,73,73,73,73,33,0,10,27.139711066741835,2.8707670280709863,73.00220604520291,4702.242424242424
1720295042,9,,Aggregated,3.500000,0.000000,12,36,54,63,68,69,73,73,73,73,73,39,0,12,29.646560749731577,2.8707670280709863,73.00220604520291,4200.923076923077
1720295043,10,,Aggregated,3.571429,0.000000,12,36,48,63,68,69,73,73,73,73,73,49,0,12,27.920668676248468,2.8707670280709863,73.00220604520291,4396.673469387755
1720295044,11,,Aggregated,4.125000,0.000000,12,36,48,63,67,69,69,73,73,73,73,53,0,12,28.551437942539604,2.8707670280709863,73.00220604520291,4228.2830188679245
